ECARTS AU 28-JAN-2015

"Zone","Accl.","Elément","Date R","Valeur R","Valeur R bump","Date V","Valeur V","Valeur V bump","Date T","Valeur T","Valeur T bump","Date L","Valeur L","Valeur L bump","Type","Id.","Cumul"
"TPS","BI","BPM.00.E","17-APR-2014",".00511",".00511","17-APR-2014","-.00235","-.00235","26-FEB-2014",".000016097",".000016097","17-APR-2014","-.00532","-.00532","B","771297","7.0464"
"TPS","BI","BPM.00.S","17-APR-2014",".00511",".00511","17-APR-2014","-.00235","-.00235","26-FEB-2014",".000016097",".000016097","17-APR-2014","-.00532","-.00532","B","771298","7.0464"
"TPS","BI","BPM.10.E","17-APR-2014",".00647",".00647","17-APR-2014","-.00237","-.00237","26-FEB-2014",".000066097",".000066097","17-APR-2014",".00569",".00569","B","160262","12.4994"
"TPS","BI","BPM.10.S","17-APR-2014",".00647",".00647","17-APR-2014","-.00237","-.00237","26-FEB-2014",".000066097",".000066097","17-APR-2014",".00569",".00569","B","160263","12.4994"
"TPS","BI","QNO.10.E","08-AUG-2012",".0008",".0008","17-APR-2014","-.0018","-.0018","","","","08-AUG-2012","-.01465","-.01465","B","160266","13.435"
"TPS","BI","QNO.10.S","08-AUG-2012",".00056",".00056","17-APR-2014","-.00167","-.00167","","","","08-AUG-2012","-.01464","-.01464","B","160267","13.835"
"TPS","BI","QNO.20.E","08-AUG-2012",".00137",".00137","17-APR-2014","-.00179","-.00179","","","","08-AUG-2012","-.01427","-.01427","B","160268","14.435"
"TPS","BI","QNO.20.S","08-AUG-2012",".00083",".00083","17-APR-2014","-.00177","-.00177","","","","08-AUG-2012","-.01427","-.01427","B","160269","14.835"
"360","BI","BPM.20.E","17-APR-2014",".00439",".00439","17-APR-2014","-.0026","-.0026","04-MAR-2014",".000016097",".000016097","17-APR-2014","-.00714","-.00714","B","160272","21.4297"
"360","BI","BPM.20.S","17-APR-2014",".00388",".00388","17-APR-2014","-.00269","-.00269","04-MAR-2014",".000016097",".000016097","17-APR-2014","-.00714","-.00714","B","160273","21.9857"
"360","BI","QNO.30.E","17-APR-2014",".00267",".00267","17-APR-2014","-.00276","-.00276","16-OCT-2013",".0022661",".0022661","17-APR-2014","-.0236","-.0236","B","160282","23.7507"
"360","BI","QNO.30.S","17-APR-2014",".00176",".00176","17-APR-2014","-.00262","-.00262","16-OCT-2013",".0022661",".0022661","17-APR-2014","-.0236","-.0236","B","160283","24.1507"
"360","BI","BPM.30.E","17-APR-2014",".00474",".00474","17-APR-2014","-.0023","-.0023","04-MAR-2014","-.000013903","-.000013903","17-APR-2014","-.02681","-.02681","B","160284","24.3247"
"360","BI","BPM.30.S","17-APR-2014",".0041",".0041","17-APR-2014","-.00288","-.00288","04-MAR-2014","-.000013903","-.000013903","17-APR-2014","-.02681","-.02681","B","160285","24.8807"
"360","BI","QNO.40.E","17-APR-2014",".00318",".00318","17-APR-2014","-.00177","-.00177","16-OCT-2013","-.0000339","-.0000339","17-APR-2014","-.0264","-.0264","B","160286","25.0507"
"360","BI","QNO.40.S","17-APR-2014",".00228",".00228","17-APR-2014","-.00176","-.00176","16-OCT-2013","-.0000339","-.0000339","17-APR-2014","-.02641","-.02641","B","160287","25.4507"
"360","BI","DIS.10.E","17-APR-2014",".00452",".00452","17-APR-2014","-.00274","-.00274","16-OCT-2013",".0004461",".0004461","17-APR-2014","-.03356","-.03356","B","160288","25.6597"
"360","BI","DIS.10.S","17-APR-2014",".00169",".00169","17-APR-2014","-.00275","-.00275","16-OCT-2013",".0004461",".0004461","17-APR-2014","-.03355","-.03355","B","160289","27.8437"
"360","BI","SMV.10.E","17-APR-2014","-.00068","-.00068","17-APR-2014","-.00178","-.00178","16-OCT-2013","-.0004739","-.0004739","17-APR-2014",".02698",".02698","B","160304","34.6242"
"360","BI","SMV.10.S","17-APR-2014",".00002",".00002","17-APR-2014","-.00232","-.00232","16-OCT-2013","-.0004739","-.0004739","17-APR-2014",".02699",".02699","B","160305","37.0822"
"360","BI","QNO.50.E","17-APR-2014","-.00087","-.00087","17-APR-2014","0","0","16-OCT-2013","-.0002739","-.0002739","17-APR-2014","-.01773","-.01773","B","160308","39.6927"
"360","BI","QNO.50.S","17-APR-2014","-.00066","-.00066","17-APR-2014","-.00021","-.00021","16-OCT-2013","-.0002739","-.0002739","17-APR-2014","-.01773","-.01773","B","160309","40.0927"
"360","BI","QNO.60.E","17-APR-2014",".00065",".00065","17-APR-2014","-.00016","-.00016","16-OCT-2013",".0005761",".0005761","17-APR-2014","-.0168","-.0168","B","160310","40.4427"
"360","BI","QNO.60.S","17-APR-2014",".00045",".00045","17-APR-2014","-.00063","-.00063","16-OCT-2013",".0005761",".0005761","17-APR-2014","-.01681","-.01681","B","160311","40.8427"
"360","BI","BPM.40.E","08-AUG-2012","-.00171","-.00171","08-AUG-2012","-.00204","-.00204","","","","08-AUG-2012","-.1465","-.1465","B","160314","41.6177"
"360","BI","BPM.40.S","08-AUG-2012","-.00206","-.00206","08-AUG-2012","-.00228","-.00228","","","","08-AUG-2012","-.1465","-.1465","B","160315","41.9177"
"360","BI","BPM.50.E","17-DEC-2014","-.00158","-.00158","08-AUG-2012","-.00252","-.00252","","","","17-DEC-2014","-.1491","-.1491","B","160320","44.1886"
"360","BI","BPM.50.S","17-DEC-2014","-.00183","-.00183","08-AUG-2012","-.00127","-.00127","","","","17-DEC-2014","-.1491","-.1491","B","160321","44.4886"
